CYP2C9 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*2/*23,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*24,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*25,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*26,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*27,n/a,CYP2C9 Indeterminate,none
*2/*28,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*29,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*30,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*31,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*32,n/a,CYP2C9 Indeterminate,none
*2/*33,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*34,n/a,CYP2C9 Indeterminate,none
*2/*35,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*36,n/a,CYP2C9 Indeterminate,none
*2/*37,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*38,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*39,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*40,n/a,CYP2C9 Indeterminate,none
*2/*41,n/a,CYP2C9 Indeterminate,none
*2/*42,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*43,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*44,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*45,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*46,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*47,n/a,CYP2C9 Indeterminate,none
*2/*48,n/a,CYP2C9 Indeterminate,none
*2/*49,n/a,CYP2C9 Indeterminate,none
*2/*50,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*51,n/a,CYP2C9 Indeterminate,none
*2/*52,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*53,n/a,CYP2C9 Indeterminate,none
*2/*54,n/a,CYP2C9 Indeterminate,none
*2/*55,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*56,n/a,CYP2C9 Indeterminate,none
*2/*57,n/a,CYP2C9 Indeterminate,none
*2/*58,n/a,CYP2C9 Indeterminate,none
*2/*59,n/a,CYP2C9 Indeterminate,none
*2/*60,n/a,CYP2C9 Indeterminate,none
*2/*61,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*62,n/a,CYP2C9 Indeterminate,none
*2/*63,n/a,CYP2C9 Indeterminate,none
*2/*64,n/a,CYP2C9 Indeterminate,none
*2/*65,n/a,CYP2C9 Indeterminate,none
*2/*66,n/a,CYP2C9 Indeterminate,none
*2/*67,n/a,CYP2C9 Indeterminate,none
*2/*68,n/a,CYP2C9 Indeterminate,none
*2/*69,n/a,CYP2C9 Indeterminate,none
*2/*70,n/a,CYP2C9 Indeterminate,none
*2/*71,n/a,CYP2C9 Indeterminate,none
*2/*72,n/a,CYP2C9 Indeterminate,none
*2/*73,n/a,CYP2C9 Indeterminate,none
*2/*74,n/a,CYP2C9 Indeterminate,none
*2/*75,n/a,CYP2C9 Indeterminate,none
*3/*3,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*4,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*5,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*6,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*7,n/a,CYP2C9 Indeterminate,none
*3/*8,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*9,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*10,n/a,CYP2C9 Indeterminate,none
*3/*11,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*12,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*13,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*14,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*15,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*16,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*17,n/a,CYP2C9 Indeterminate,none
*3/*18,n/a,CYP2C9 Indeterminate,none
*3/*19,n/a,CYP2C9 Indeterminate,none
*3/*20,n/a,CYP2C9 Indeterminate,none
*3/*21,n/a,CYP2C9 Indeterminate,none
*3/*22,n/a,CYP2C9 Indeterminate,none
*3/*23,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*24,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*25,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*26,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*27,n/a,CYP2C9 Indeterminate,none
*3/*28,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*29,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*30,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*31,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*32,n/a,CYP2C9 Indeterminate,none
*3/*33,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*34,n/a,CYP2C9 Indeterminate,none
*3/*35,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*36,n/a,CYP2C9 Indeterminate,none
*3/*37,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*38,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*39,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*40,n/a,CYP2C9 Indeterminate,none
*3/*41,n/a,CYP2C9 Indeterminate,none
*3/*42,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*43,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*44,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*45,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*46,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*47,n/a,CYP2C9 Indeterminate,none
*3/*48,n/a,CYP2C9 Indeterminate,none
*3/*49,n/a,CYP2C9 Indeterminate,none
*3/*50,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*51,n/a,CYP2C9 Indeterminate,none
*3/*52,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*53,n/a,CYP2C9 Indeterminate,none
*3/*54,n/a,CYP2C9 Indeterminate,none
*3/*55,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*56,n/a,CYP2C9 Indeterminate,none
*3/*57,n/a,CYP2C9 Indeterminate,none
*3/*58,n/a,CYP2C9 Indeterminate,none
*3/*59,n/a,CYP2C9 Indeterminate,none
*3/*60,n/a,CYP2C9 Indeterminate,none
*3/*61,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*62,n/a,CYP2C9 Indeterminate,none
*3/*63,n/a,CYP2C9 Indeterminate,none
*3/*64,n/a,CYP2C9 Indeterminate,none
*3/*65,n/a,CYP2C9 Indeterminate,none
*3/*66,n/a,CYP2C9 Indeterminate,none
*3/*67,n/a,CYP2C9 Indeterminate,none
*3/*68,n/a,CYP2C9 Indeterminate,none
*3/*69,n/a,CYP2C9 Indeterminate,none
*3/*70,n/a,CYP2C9 Indeterminate,none
*3/*71,n/a,CYP2C9 Indeterminate,none
*3/*72,n/a,CYP2C9 Indeterminate,none
*3/*73,n/a,CYP2C9 Indeterminate,none
*3/*74,n/a,CYP2C9 Indeterminate,none
*3/*75,n/a,CYP2C9 Indeterminate,none
*4/*4,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*5,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*6,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*7,n/a,CYP2C9 Indeterminate,none
*4/*8,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*9,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*10,n/a,CYP2C9 Indeterminate,none
*4/*11,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*12,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*13,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*14,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*15,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*16,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*17,n/a,CYP2C9 Indeterminate,none
*4/*18,n/a,CYP2C9 Indeterminate,none
*4/*19,n/a,CYP2C9 Indeterminate,none
*4/*20,n/a,CYP2C9 Indeterminate,none
*4/*21,n/a,CYP2C9 Indeterminate,none
*4/*22,n/a,CYP2C9 Indeterminate,none
*4/*23,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*24,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*25,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*26,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*27,n/a,CYP2C9 Indeterminate,none
*4/*28,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*29,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*30,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*31,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*32,n/a,CYP2C9 Indeterminate,none
*4/*33,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*34,n/a,CYP2C9 Indeterminate,none
*4/*35,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*36,n/a,CYP2C9 Indeterminate,none
*4/*37,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*38,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*39,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*40,n/a,CYP2C9 Indeterminate,none
*4/*41,n/a,CYP2C9 Indeterminate,none
*4/*42,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*43,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*44,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*45,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*46,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*47,n/a,CYP2C9 Indeterminate,none
*4/*48,n/a,CYP2C9 Indeterminate,none
*4/*49,n/a,CYP2C9 Indeterminate,none
*4/*50,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*51,n/a,CYP2C9 Indeterminate,none
*4/*52,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*53,n/a,CYP2C9 Indeterminate,none
*4/*54,n/a,CYP2C9 Indeterminate,none
*4/*55,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*56,n/a,CYP2C9 Indeterminate,none
*4/*57,n/a,CYP2C9 Indeterminate,none
*4/*58,n/a,CYP2C9 Indeterminate,none
*4/*59,n/a,CYP2C9 Indeterminate,none
*4/*60,n/a,CYP2C9 Indeterminate,none
*4/*61,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*62,n/a,CYP2C9 Indeterminate,none
*4/*63,n/a,CYP2C9 Indeterminate,none
*4/*64,n/a,CYP2C9 Indeterminate,none
*4/*65,n/a,CYP2C9 Indeterminate,none
*4/*66,n/a,CYP2C9 Indeterminate,none
*4/*67,n/a,CYP2C9 Indeterminate,none
*4/*68,n/a,CYP2C9 Indeterminate,none
*4/*69,n/a,CYP2C9 Indeterminate,none
*4/*70,n/a,CYP2C9 Indeterminate,none
*4/*71,n/a,CYP2C9 Indeterminate,none
*4/*72,n/a,CYP2C9 Indeterminate,none
*4/*73,n/a,CYP2C9 Indeterminate,none
*4/*74,n/a,CYP2C9 Indeterminate,none
*4/*75,n/a,CYP2C9 Indeterminate,none
*5/*5,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*6,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*5/*7,n/a,CYP2C9 Indeterminate,none
*5/*8,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*9,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*10,n/a,CYP2C9 Indeterminate,none
*5/*11,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*12,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*13,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*5/*14,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*15,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*5/*16,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*17,n/a,CYP2C9 Indeterminate,none
*5/*18,n/a,CYP2C9 Indeterminate,none
*5/*19,n/a,CYP2C9 Indeterminate,none
*5/*20,n/a,CYP2C9 Indeterminate,none
*5/*21,n/a,CYP2C9 Indeterminate,none
*5/*22,n/a,CYP2C9 Indeterminate,none
*5/*23,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*24,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*5/*25,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*5/*26,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*27,n/a,CYP2C9 Indeterminate,none
*5/*28,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*29,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*30,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*31,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*32,n/a,CYP2C9 Indeterminate,none
*5/*33,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*5/*34,n/a,CYP2C9 Indeterminate,none
*5/*35,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*5/*36,n/a,CYP2C9 Indeterminate,none
*5/*37,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*38,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*39,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*5/*40,n/a,CYP2C9 Indeterminate,none
*5/*41,n/a,CYP2C9 Indeterminate,none
*5/*42,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*5/*43,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*5/*44,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*45,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*5/*46,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*47,n/a,CYP2C9 Indeterminate,none
*5/*48,n/a,CYP2C9 Indeterminate,none
*5/*49,n/a,CYP2C9 Indeterminate,none
*5/*50,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*51,n/a,CYP2C9 Indeterminate,none
*5/*52,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*5/*53,n/a,CYP2C9 Indeterminate,none
*5/*54,n/a,CYP2C9 Indeterminate,none
*5/*55,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*56,n/a,CYP2C9 Indeterminate,none
*5/*57,n/a,CYP2C9 Indeterminate,none
*5/*58,n/a,CYP2C9 Indeterminate,none
*5/*59,n/a,CYP2C9 Indeterminate,none
*5/*60,n/a,CYP2C9 Indeterminate,none
*5/*61,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*62,n/a,CYP2C9 Indeterminate,none
*5/*63,n/a,CYP2C9 Indeterminate,none
*5/*64,n/a,CYP2C9 Indeterminate,none
*5/*65,n/a,CYP2C9 Indeterminate,none
*5/*66,n/a,CYP2C9 Indeterminate,none
*5/*67,n/a,CYP2C9 Indeterminate,none
*5/*68,n/a,CYP2C9 Indeterminate,none
*5/*69,n/a,CYP2C9 Indeterminate,none
*5/*70,n/a,CYP2C9 Indeterminate,none
*5/*71,n/a,CYP2C9 Indeterminate,none
*5/*72,n/a,CYP2C9 Indeterminate,none
*5/*73,n/a,CYP2C9 Indeterminate,none
*5/*74,n/a,CYP2C9 Indeterminate,none
*5/*75,n/a,CYP2C9 Indeterminate,none
*6/*6,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*7,n/a,CYP2C9 Indeterminate,none
*6/*8,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*9,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*6/*10,n/a,CYP2C9 Indeterminate,none
*6/*11,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*12,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*13,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*14,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*15,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*16,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*17,n/a,CYP2C9 Indeterminate,none
*6/*18,n/a,CYP2C9 Indeterminate,none
*6/*19,n/a,CYP2C9 Indeterminate,none
*6/*20,n/a,CYP2C9 Indeterminate,none
*6/*21,n/a,CYP2C9 Indeterminate,none
*6/*22,n/a,CYP2C9 Indeterminate,none
*6/*23,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*24,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*25,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*26,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*27,n/a,CYP2C9 Indeterminate,none
*6/*28,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*29,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*30,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*31,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*32,n/a,CYP2C9 Indeterminate,none
*6/*33,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*34,n/a,CYP2C9 Indeterminate,none
*6/*35,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*36,n/a,CYP2C9 Indeterminate,none
*6/*37,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*38,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*39,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*40,n/a,CYP2C9 Indeterminate,none
*6/*41,n/a,CYP2C9 Indeterminate,none
*6/*42,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*43,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*44,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*45,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*46,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
