CYP2B6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*2/*31,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*2/*32,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*2/*33,n/a,CYP2B6 Indeterminate,none
*2/*34,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*35,n/a,CYP2B6 Indeterminate,none
*2/*36,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*37,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*38,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*39,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*40,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*41,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*42,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*43,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*44,n/a,CYP2B6 Indeterminate,none
*2/*45,n/a,CYP2B6 Indeterminate,none
*2/*46,n/a,CYP2B6 Indeterminate,none
*2/*47,n/a,CYP2B6 Indeterminate,none
*2/*48,n/a,CYP2B6 Indeterminate,none
*2/*49,n/a,CYP2B6 Indeterminate,none
*3/*3,n/a,CYP2B6 Indeterminate,none
*3/*4,n/a,CYP2B6 Indeterminate,none
*3/*5,n/a,CYP2B6 Indeterminate,none
*3/*6,n/a,CYP2B6 Indeterminate,none
*3/*7,n/a,CYP2B6 Indeterminate,none
*3/*8,n/a,CYP2B6 Indeterminate,none
*3/*9,n/a,CYP2B6 Indeterminate,none
*3/*10,n/a,CYP2B6 Indeterminate,none
*3/*11,n/a,CYP2B6 Indeterminate,none
*3/*12,n/a,CYP2B6 Indeterminate,none
*3/*13,n/a,CYP2B6 Indeterminate,none
*3/*14,n/a,CYP2B6 Indeterminate,none
*3/*15,n/a,CYP2B6 Indeterminate,none
*3/*17,n/a,CYP2B6 Indeterminate,none
*3/*18,n/a,CYP2B6 Indeterminate,none
*3/*19,n/a,CYP2B6 Indeterminate,none
*3/*20,n/a,CYP2B6 Indeterminate,none
*3/*21,n/a,CYP2B6 Indeterminate,none
*3/*22,n/a,CYP2B6 Indeterminate,none
*3/*23,n/a,CYP2B6 Indeterminate,none
*3/*24,n/a,CYP2B6 Indeterminate,none
*3/*25,n/a,CYP2B6 Indeterminate,none
*3/*26,n/a,CYP2B6 Indeterminate,none
*3/*27,n/a,CYP2B6 Indeterminate,none
*3/*28,n/a,CYP2B6 Indeterminate,none
*3/*29,n/a,CYP2B6 Indeterminate,none
*3/*30,n/a,CYP2B6 Indeterminate,none
*3/*31,n/a,CYP2B6 Indeterminate,none
*3/*32,n/a,CYP2B6 Indeterminate,none
*3/*33,n/a,CYP2B6 Indeterminate,none
*3/*34,n/a,CYP2B6 Indeterminate,none
*3/*35,n/a,CYP2B6 Indeterminate,none
*3/*36,n/a,CYP2B6 Indeterminate,none
*3/*37,n/a,CYP2B6 Indeterminate,none
*3/*38,n/a,CYP2B6 Indeterminate,none
*3/*39,n/a,CYP2B6 Indeterminate,none
*3/*40,n/a,CYP2B6 Indeterminate,none
*3/*41,n/a,CYP2B6 Indeterminate,none
*3/*42,n/a,CYP2B6 Indeterminate,none
*3/*43,n/a,CYP2B6 Indeterminate,none
*3/*44,n/a,CYP2B6 Indeterminate,none
*3/*45,n/a,CYP2B6 Indeterminate,none
*3/*46,n/a,CYP2B6 Indeterminate,none
*3/*47,n/a,CYP2B6 Indeterminate,none
*3/*48,n/a,CYP2B6 Indeterminate,none
*3/*49,n/a,CYP2B6 Indeterminate,none
*4/*4,n/a,CYP2B6 Ultrarapid Metabolizer,Normal/Routine/Low Risk
*4/*5,n/a,CYP2B6 Rapid Metabolizer,Normal/Routine/Low Risk
*4/*6,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*7,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*8,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*9,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*10,n/a,CYP2B6 Indeterminate,none
*4/*11,n/a,CYP2B6 Indeterminate,none
*4/*12,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*13,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*14,n/a,CYP2B6 Indeterminate,none
*4/*15,n/a,CYP2B6 Indeterminate,none
*4/*17,n/a,CYP2B6 Rapid Metabolizer,Normal/Routine/Low Risk
*4/*18,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*19,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*20,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*21,n/a,CYP2B6 Indeterminate,none
*4/*22,n/a,CYP2B6 Indeterminate,none
*4/*23,n/a,CYP2B6 Indeterminate,none
*4/*24,n/a,CYP2B6 Indeterminate,none
*4/*25,n/a,CYP2B6 Indeterminate,none
*4/*26,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*27,n/a,CYP2B6 Indeterminate,none
*4/*28,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*29,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*30,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*31,n/a,CYP2B6 Rapid Metabolizer,Normal/Routine/Low Risk
*4/*32,n/a,CYP2B6 Rapid Metabolizer,Normal/Routine/Low Risk
*4/*33,n/a,CYP2B6 Indeterminate,none
*4/*34,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*35,n/a,CYP2B6 Indeterminate,none
*4/*36,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*37,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*38,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*39,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*40,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*41,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*42,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*43,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*44,n/a,CYP2B6 Indeterminate,none
*4/*45,n/a,CYP2B6 Indeterminate,none
*4/*46,n/a,CYP2B6 Indeterminate,none
*4/*47,n/a,CYP2B6 Indeterminate,none
*4/*48,n/a,CYP2B6 Indeterminate,none
*4/*49,n/a,CYP2B6 Indeterminate,none
*5/*5,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*5/*6,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*7,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*8,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*9,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*10,n/a,CYP2B6 Indeterminate,none
*5/*11,n/a,CYP2B6 Indeterminate,none
*5/*12,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*13,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*14,n/a,CYP2B6 Indeterminate,none
*5/*15,n/a,CYP2B6 Indeterminate,none
*5/*17,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*5/*18,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*19,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*20,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*21,n/a,CYP2B6 Indeterminate,none
*5/*22,n/a,CYP2B6 Indeterminate,none
*5/*23,n/a,CYP2B6 Indeterminate,none
*5/*24,n/a,CYP2B6 Indeterminate,none
*5/*25,n/a,CYP2B6 Indeterminate,none
*5/*26,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*27,n/a,CYP2B6 Indeterminate,none
*5/*28,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*29,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*30,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*31,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*5/*32,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*5/*33,n/a,CYP2B6 Indeterminate,none
*5/*34,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*35,n/a,CYP2B6 Indeterminate,none
*5/*36,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*37,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*38,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*39,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*40,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*41,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*42,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*43,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*44,n/a,CYP2B6 Indeterminate,none
*5/*45,n/a,CYP2B6 Indeterminate,none
*5/*46,n/a,CYP2B6 Indeterminate,none
*5/*47,n/a,CYP2B6 Indeterminate,none
*5/*48,n/a,CYP2B6 Indeterminate,none
*5/*49,n/a,CYP2B6 Indeterminate,none
*6/*6,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*7,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*8,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*9,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*10,n/a,CYP2B6 Indeterminate,none
*6/*11,n/a,CYP2B6 Indeterminate,none
*6/*12,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*13,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*14,n/a,CYP2B6 Indeterminate,none
*6/*15,n/a,CYP2B6 Indeterminate,none
*6/*17,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*6/*18,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*19,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*20,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*21,n/a,CYP2B6 Indeterminate,none
*6/*22,n/a,CYP2B6 Indeterminate,none
*6/*23,n/a,CYP2B6 Indeterminate,none
*6/*24,n/a,CYP2B6 Indeterminate,none
*6/*25,n/a,CYP2B6 Indeterminate,none
*6/*26,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*27,n/a,CYP2B6 Indeterminate,none
*6/*28,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*29,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*30,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*31,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*6/*32,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*6/*33,n/a,CYP2B6 Indeterminate,none
*6/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*35,n/a,CYP2B6 Indeterminate,none
*6/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*44,n/a,CYP2B6 Indeterminate,none
*6/*45,n/a,CYP2B6 Indeterminate,none
*6/*46,n/a,CYP2B6 Indeterminate,none
*6/*47,n/a,CYP2B6 Indeterminate,none
*6/*48,n/a,CYP2B6 Indeterminate,none
*6/*49,n/a,CYP2B6 Indeterminate,none
*7/*7,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*8,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*9,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*10,n/a,CYP2B6 Indeterminate,none
*7/*11,n/a,CYP2B6 Indeterminate,none
*7/*12,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*13,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*14,n/a,CYP2B6 Indeterminate,none
*7/*15,n/a,CYP2B6 Indeterminate,none
*7/*17,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*7/*18,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*19,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*20,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*21,n/a,CYP2B6 Indeterminate,none
*7/*22,n/a,CYP2B6 Indeterminate,none
*7/*23,n/a,CYP2B6 Indeterminate,none
*7/*24,n/a,CYP2B6 Indeterminate,none
*7/*25,n/a,CYP2B6 Indeterminate,none
*7/*26,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*27,n/a,CYP2B6 Indeterminate,none
*7/*28,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*29,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*30,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*31,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*7/*32,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*7/*33,n/a,CYP2B6 Indeterminate,none
*7/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*35,n/a,CYP2B6 Indeterminate,none
*7/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*7/*44,n/a,CYP2B6 Indeterminate,none
*7/*45,n/a,CYP2B6 Indeterminate,none
*7/*46,n/a,CYP2B6 Indeterminate,none
*7/*47,n/a,CYP2B6 Indeterminate,none
*7/*48,n/a,CYP2B6 Indeterminate,none
*7/*49,n/a,CYP2B6 Indeterminate,none
*8/*8,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*9,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*10,n/a,CYP2B6 Indeterminate,none
*8/*11,n/a,CYP2B6 Indeterminate,none
*8/*12,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*13,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*14,n/a,CYP2B6 Indeterminate,none
*8/*15,n/a,CYP2B6 Indeterminate,none
*8/*17,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*18,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*19,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*20,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*21,n/a,CYP2B6 Indeterminate,none
*8/*22,n/a,CYP2B6 Indeterminate,none
*8/*23,n/a,CYP2B6 Indeterminate,none
*8/*24,n/a,CYP2B6 Indeterminate,none
*8/*25,n/a,CYP2B6 Indeterminate,none
*8/*26,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*27,n/a,CYP2B6 Indeterminate,none
*8/*28,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*29,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*30,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*31,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*32,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*33,n/a,CYP2B6 Indeterminate,none
*8/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*35,n/a,CYP2B6 Indeterminate,none
*8/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*44,n/a,CYP2B6 Indeterminate,none
*8/*45,n/a,CYP2B6 Indeterminate,none
*8/*46,n/a,CYP2B6 Indeterminate,none
*8/*47,n/a,CYP2B6 Indeterminate,none
*8/*48,n/a,CYP2B6 Indeterminate,none
*8/*49,n/a,CYP2B6 Indeterminate,none
*9/*9,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*10,n/a,CYP2B6 Indeterminate,none
*9/*11,n/a,CYP2B6 Indeterminate,none
*9/*12,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*13,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*14,n/a,CYP2B6 Indeterminate,none
*9/*15,n/a,CYP2B6 Indeterminate,none
*9/*17,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*18,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*19,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*20,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*21,n/a,CYP2B6 Indeterminate,none
*9/*22,n/a,CYP2B6 Indeterminate,none
*9/*23,n/a,CYP2B6 Indeterminate,none
*9/*24,n/a,CYP2B6 Indeterminate,none
*9/*25,n/a,CYP2B6 Indeterminate,none
*9/*26,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*27,n/a,CYP2B6 Indeterminate,none
*9/*28,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*29,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*30,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*31,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*32,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*33,n/a,CYP2B6 Indeterminate,none
*9/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*35,n/a,CYP2B6 Indeterminate,none
*9/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*9/*44,n/a,CYP2B6 Indeterminate,none
*9/*45,n/a,CYP2B6 Indeterminate,none
*9/*46,n/a,CYP2B6 Indeterminate,none
*9/*47,n/a,CYP2B6 Indeterminate,none
*9/*48,n/a,CYP2B6 Indeterminate,none
*9/*49,n/a,CYP2B6 Indeterminate,none
*10/*10,n/a,CYP2B6 Indeterminate,none
*10/*11,n/a,CYP2B6 Indeterminate,none
*10/*12,n/a,CYP2B6 Indeterminate,none
*10/*13,n/a,CYP2B6 Indeterminate,none
*10/*14,n/a,CYP2B6 Indeterminate,none
*10/*15,n/a,CYP2B6 Indeterminate,none
